Business Name,Trade,London Area,Phone,Email,Website,Website Score,Biggest Flaw,Group
Ababeel Group Travel & Tours,Travel Agent,Bow,+4420 8981 4447,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Martin's Butchers,Butcher,Camden,+44 20 7485 2575,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Millennium City Garages,Car Garage,Southwark,+44 20 7928 5005,,https://www.millenniumcitygarages.com/,1,"The website address published for the business does not load at all — the request fails outright, so anyone clicking the link from a search result or directory listing reaches nothing.",A
The Little Nail Room,Beauty Salon,Islington,+44 20 7837 4842,,www.TheLittleNailRoom.co.uk,1,"The website address published for the business does not load at all — the request fails outright, so anyone clicking the link from a search result or directory listing reaches nothing.",A
KCL,Dry Cleaner,Shepherds Bush,+44 20 8743 1548,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Jackmans Irish Meat Market,Butcher,Shepherds Bush,+44 20 8762 9689,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Pristine Nails & Beauty,Beauty Salon,Shepherds Bush,+44 20 8740 8566,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Charlie's Hair & Beauty,Hair Salon,Shepherds Bush,+44 20 8743 6868,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Cynthia Mitchell,Hair Salon,Shepherds Bush,+44 20 8749 5223,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Top Star Nails,Beauty Salon,Shepherds Bush,+44 20 8749 2040,,https://kubiti.com/trend/top-star-nail,2,"There is no mobile viewport tag, so the page renders at desktop width on a phone and visitors have to pinch and zoom to read anything, and there is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Express Barber Shop,Hair Salon,Shepherds Bush,+44 20 8740 9697,,http://expressbarber.co.uk/,1,"The website address published for the business does not load at all — the request fails outright, so anyone clicking the link from a search result or directory listing reaches nothing.",A
Lebanese Bakery,Bakery,Shepherds Bush,+44 20 8354 2386,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Henry Electrical Services,Electrician,Seven Sisters,+44 7949 774312,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Top Dog Joinery Limited,Carpenter,Leytonstone,,john@topdogjoinery.co.uk,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Platinum Emergency Services Ltd,Plumber,Walthamstow,+44 20 8521 9518,,https://platinumemergency.com,2,"There is no mobile viewport tag, so the page renders at desktop width on a phone and visitors have to pinch and zoom to read anything, and there is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Elite Plumbing & Bathrooms,Plumber,Bowes Park,+44 20 8365 8868,,https://elite-plumbing-bathrooms.business.site/,1,The website address returns a 404 'page not found' error rather than a homepage.,A
Floor Sanding London Company - Wooden Flooring Experts Ltd,Flooring Fitter,Leytonstone,+44 20 8089 9076,,https://woodenflooringexperts.co.uk/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
John Lawler,Upholsterer,Crouch End,+44 2083 475 437,info@johnlawlerupholstery.co.uk,http://www.johnlawlerupholstery.co.uk/,1,"The site still runs on plain http with no SSL certificate, so Chrome shows visitors a 'Not secure' warning in the address bar, and there is no mobile viewport tag, so the page renders at desktop width on a phone and visitors have to pinch and zoom to read anything.",A
Muswell Hill Joinery,Carpenter,Crouch End,+44 2083 488 048,muswellhilljoinery@gmail.com,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Tablemaker,Carpenter,Crouch End,+44 2083 416 334,hello@tablemaker.co.uk,https://tablemaker.co.uk,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Meta Scaffolding,Scaffolder,Barnet,+44 7912 201526; +44 20 3673 6147,info@metascaffolding.co.uk,https://metascaffolding.co.uk/,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
Prestige,Dry Cleaner,Crouch End,+44 20 8341 1530,,https://www.prestigedcl.co.uk,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
The Happening Bagel Bakery,Bakery,Finsbury Park,+44 20 8809 1519,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Palushi's Gents Haidressers,Hair Salon,Kentish Town,+44 20 7482 2578,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Safiya Fruit & Vegetables,Greengrocer,Forest Gate,+44 7817 652688,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Kapadokya Food Centre,Greengrocer,Manor Park,+44 20 8478 8189,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Hilton abbey Ltd,Painter & Decorator,Greenwich,+44 20 8858 1709,,https://www.hiltonabbey.co.uk/,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
Pelene Shop and Beauty Salon,Beauty Salon,Canning Town,+44 20 7511 7775,,http://www.pelenehairandbeauty.co.uk,1,"The website address published for the business does not load at all — the request fails outright, so anyone clicking the link from a search result or directory listing reaches nothing.",A
Dynasty London Barbers,Hair Salon,Stratford,+44 20 8503 0765,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
A.P. Dry Cleaners,Launderette,Forest Gate,+44 7534 373494,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Flex Hair Studio,Hair Salon,Stratford,+44 20 8215 0055,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Waterside Dry Cleaners,Launderette,Canning Town,+44 20 7511 7979,,https://www.royaldocks.net/e16/drycleaners/,1,"The site is still a 'coming soon' placeholder rather than a working website, so anyone searching for the business finds no information, no services and no way to judge them.",A
Sheila's Florest,Florist,Stratford,+44 20 8534 7362,,http://www.sheilasflorist.com/,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
Dream Nails,Beauty Salon,Canning Town,+44 20 7476 0082,,https://www.dreamnailsbeauty.com/royal-wharf,1,The website address returns a 404 'page not found' error rather than a homepage.,A
Xcel Dry Cleaners,Launderette,Canning Town,+44 20 7473 2846,,https://www.xceldrycleaners.co.uk/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Cage Barber,Hair Salon,Canning Town,+44 20 7474 2990,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Double Blessing,Hair Salon,East Ham,+44 20 8471 3100,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Tango Salon,Hair Salon,Canning Town,+44 20 7474 5192,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Michelle's Nails,Beauty Salon,Plaistow,+44 20 7476 6755,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
VA Salon,Beauty Salon,Canning Town,+44 20 7476 3272,,https://www.va-salon.com/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Kings of London,Hair Salon,Greenwich,+44 20 3417 2940,book@drakesoflondon.com,https://www.kingsoflondon.london/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
NU:YU Beauty Rooms,Beauty Salon,Beckenham,+44 20 8663 6110,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Westmount Dry Cleaners,Dry Cleaner,Eltham,+44 20 8850 5616,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Visage Hair & Beauty,Hair Salon,Eltham,+44 20 8850 9011,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Someone Very Beautiful,Beauty Salon,Crofton Park,+44 20 8291 5555,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Cher's Beauty,Beauty Salon,West Wickham,+44 20 8466 6552,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
The Rose Corner,Florist,Ladywell,+44 20 8314 5994,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Magic Nails,Beauty Salon,Penge,+44 20 8778 8564,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
SLR Autos,Car Garage,Penge,+44 20 8778 5755,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Me 'Lange,Hair Salon,Penge,+44 7538539239,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Nouvelle hair and beauty,Hair Salon,Penge,+44 20 3689 4145,hello@nouvellese20.co.uk,https://www.nouvellese20.co.uk/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Blackbird Bakery,Bakery,Penge,+44 20 3649 8038,blackbirdbakerylondon@gmail.com,https://www.blackbirdbakerylondon.co.uk/locations,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
The Bread of Life Bakery,Bakery,Camberwell,+44 20 7274 9632,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Harold George,Hair Salon,Dulwich,+44 20 8693 4221,,https://www.haroldgeorge.co.uk/,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
Camberwell Barbers,Hair Salon,Camberwell,+44 20 7738 5711,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Audy Berry Hair,Hair Salon,Camberwell,+44 7476 565850,,http://www.audyberryhair.com/,1,"The website address published for the business does not load at all — the request fails outright, so anyone clicking the link from a search result or directory listing reaches nothing.",A
Boulangerie Jade,Bakery,Chiswick,+44 20 8742 3990,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Richard Ward,Hair Salon,Chelsea,+44 20 7730 1222,info@richardward.com,https://www.richardward.com/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Jacques Flowers,Florist,Chelsea,+44 20 7823 5577,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Fe Hair and Beauty,Hair Salon,Paddington,+44 20 7402 4442,,https://www.fehairandbeauty.com/,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
Habsburg & Bourbon,Hair Salon,Fulham,+44  20 7384 5294,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
The New York Laser Clinic,Beauty Salon,Fulham,+44 20 7409 1083,,https://www.thenewyorklaserclinic.co.uk/,1,"The website returns a server error (HTTP 526) instead of a page, so customers clicking through from Google see an error message rather than the business.",A
Fulham Barbers,Hair Salon,Fulham,+44 20 7386 5450,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Tariq Halal Meats,Butcher,Fulham,+44 20 7381 4252,,https://www.tariqhalalmeats.com/,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
Vanston Dry Cleaners,Dry Cleaner,Fulham,+44 20 7381 3609,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Chelsea Flowers,Florist,West Brompton,+44 20 7823 3393,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Bagel Factory,Bakery,Paddington,+44 20 7706 1711,,https://www.bagelfactory.co.uk/locations,5,"The footer copyright is frozen at 2020, which makes an active business look abandoned to anyone checking whether they're still trading.",A
Equipe Hair,Hair Salon,Maida Vale,+44 20 7286 9988,,http://www.equipehair.co.uk/,4,"The site still runs on plain http with no SSL certificate, so Chrome shows visitors a 'Not secure' warning in the address bar.",A
Easy Go Travel,Travel Agent,Shepherds Bush,+44 20 7018 0885,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Medirex Opticians,Optician,Stockwell,+44 20 7735 5309,,http://www.medirex.co.uk,4,"The site still runs on plain http with no SSL certificate, so Chrome shows visitors a 'Not secure' warning in the address bar.",A
London Dog Grooming,Dog Groomer,Hammersmith,+44 20 8741 9385,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Hammersmith Tattoo London,Tattoo Studio,West Kensington,+44 20 7602 1086,info@hammersmithtattoo.co.uk,https://www.hammersmithtattoo.co.uk/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Jay's,Greengrocer,Maida Vale,+44 20 7286 0077,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Le Pascalou,Greengrocer,West Brompton,+44 20 7352 1717,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Moscot,Optician,Chelsea,+44 20 7379 1915,,https://moscot.com/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Sunglass Hut,Optician,Chelsea,+44 20 7589 8734,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Direct Glass,Glazier,Penge,+44 20 8778 6437,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Lee Green Glass,Glazier,Lewisham,+44 20 8852 4987,,https://leegreenglass.co.uk/,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
TC&D Construction,Builder,Sidcup,+44 20 8300 6665,enquiries@tcdconstruction.co.uk,https://tcdconstruction.co.uk/,4,Parts of the page still contain the template's placeholder filler text that was never replaced with real content.,A
Paul's Hairdressers,Hair Salon,Bromley,+44 20 8460 6181,,https://paulshairdressing.co.uk,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Tula Rose,Beauty Salon,Camberwell,+44 20 7733 1400,info@tularose.com,https://www.tularose.com/,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
Meat Jon,Butcher,Ladywell,+44 20 3641 8384,order@meatjon.com,https://www.meatjon.com/,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
Julia,Hair Salon,Lewisham,+44 20 8318 1331,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Elite Hair Lounge,Hair Salon,Lewisham,+44 20 7018 5655,lewisham@elitehairlounge.co.uk,http://elitehairlounge.co.uk/,2,"The homepage is nearly empty — it returns barely any content at all, so there is nothing for a customer to read and nothing for Google to index.",A
Launderette & Ironing Service,Launderette,Lewisham,+44 20 7998 1902,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Blackheath Butchers,Butcher,Blackheath,+44 20 8852 0470,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Blackheath Dry Cleaners,Dry Cleaner,Blackheath,+44 20 8852 6771,,https://blackheath-dry-cleaners.business.site/,1,The website address returns a 404 'page not found' error rather than a homepage.,A
Elegant Sheek Beauty Specialist,Beauty Salon,Croydon,+44 20 8656 7711,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Nasim Unisex Hair Salon,Hair Salon,Croydon,+44 20 8654 6034,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Billings,Butcher,Sydenham,+44 20 8659 2781,sales@shopbillings.co.uk,http://www.shopbillings.co.uk/,4,"The site still runs on plain http with no SSL certificate, so Chrome shows visitors a 'Not secure' warning in the address bar.",A
Euro Dry Cleaners,Dry Cleaner,Croydon,+44 20 8686 3508,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Little Details Property Services Ltd,Plumber,Raynes Park,+44 20 8617 8185,little-details@hotmail.co.uk,https://www.littledetailshomerenovation.com/,1,"The website address published for the business does not load at all — the request fails outright, so anyone clicking the link from a search result or directory listing reaches nothing.",A
Universal Flooring,Tiler,Raynes Park,+44 20 8543 9202,,https://www.universalflooring.co.uk/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Manor Glass and Glazing,Glazier,Wallington,+44 20 8647 6620,manor.glass@tiscali.co.uk,https://www.manorglassltd.co.uk/,1,"The website address published for the business does not load at all — the request fails outright, so anyone clicking the link from a search result or directory listing reaches nothing.",A
Stained Glass Guild,Glazier,Kingston upon Thames,+44 7841532311,contact@stainedglassguild.com,http://stainedglassguild.com,2,"The site still runs on plain http with no SSL certificate, so Chrome shows visitors a 'Not secure' warning in the address bar, and there is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Vibrant Ink Tattoos,Tattoo Studio,Wandsworth,+44 20 8875 1330,,https://vibrantinktattoos.co.uk/,1,"The website address published for the business does not load at all — the request fails outright, so anyone clicking the link from a search result or directory listing reaches nothing.",A
Stear C F & M C,Greengrocer,Surbiton,+44 20 8399 5550,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Direct Traveller,Travel Agent,Croydon,+44 20 8547 2857,,https://www.directtraveller.com,1,"The website returns a server error (HTTP 500) instead of a page, so customers clicking through from Google see an error message rather than the business.",A
Enfield Plumbing Masters,Plumber,Enfield,+44 20 3670 8326,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Enfield Plumbers R Us,Plumber,Enfield,+44 20 3889 1997,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
D & J Plumbing & Heating,Plumber,Enfield,+44 7956 670853,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Plc ElectrIcal - Lighting Installation & Electrical Rewiring Enfield | E-Safety Certificate,Electrician,Enfield,+44 7387 187639,,https://plcelectrical.co.uk/,5,"The footer copyright is frozen at 2022, which makes an active business look abandoned to anyone checking whether they're still trading.",A
Enfield Roofers,Roofer,Enfield,+44 1273 951214,,http://enfield-roofers.co.uk/,1,"The website address published for the business does not load at all — the request fails outright, so anyone clicking the link from a search result or directory listing reaches nothing.",A
Woodcraft Joinery London,Carpenter,Enfield,+44 20 3981 5147,,https://woodcraftjoinerylondon.co.uk/,2,"There is no mobile viewport tag, so the page renders at desktop width on a phone and visitors have to pinch and zoom to read anything, and there is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Enfield Carpenter & Handyman,Carpenter,Enfield,+44 7521 004927,,https://enfieldcarpenter.co.uk/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Nastev Painting and Decorating,Painter & Decorator,Enfield,+44 7933 236593,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
